/////////////////////////////////////////////////////////
// Map name       Castle Attack                        //
// Locations by   antman                               //
// Modified by    antman                               //
// Recommended    b_locationMaxChars 25                //
// Last edited    28-05-2006                           //
// http://www.antman.info/wolf/etpro/locations/        //
/////////////////////////////////////////////////////////
3006 -854 216 "1st Allied Spawn"
3013 -446 216 @
3016 -137 216 @
2668 -125 216 @
2719 -529 216 @
2691 -868 216 @
2875 1780 832 "2nd Axis Spawn"
3565 1816 832 @
2724 -851 48 "Bell Tower"
3032 -861 8 @
2609 -1344 208 @
3019 -1333 208 @
2643 -1002 808 @
3003 -1311 1004 @
2616 -1027 1024 @
3005 -1025 1024 @
2612 -1336 1024 @
3036 -1018 1248 "Bell Tower Roof"
3029 -1337 1248 @
2621 -1320 1248 @
2649 -1027 1245 @
-2479 -174 936 "Bunker"
-2369 121 832 @
-2597 1230 809 @
-2329 831 832 @
-1927 794 640 "Bunker Stairwell"
-1964 299 800 @
-2003 294 624 @
-1956 828 448 @
-1988 297 424 @
-1953 829 256 @
-1996 301 240 @
-1972 821 64 @
-2053 358 64 @
-1371 833 217 @
-2181 829 832 @
1525 2999 832 "Castle Arch"
1928 3008 832 @
1945 1825 840 "Castle Bar"
2228 2256 912 @
2033 2041 912 @
1678 2297 840 @
1345 2354 840 @
1338 2090 840 @
2055 2995 832 "Castle Courtyard"
2978 2300 832 @
3761 2405 832 @
3752 3352 832 @
2828 3662 832 @
3275 2936 832 @
2366 2935 832 @
2804 2499 832 @
2858 3389 832 @
2751 2187 832 @
2467 3768 832 @
2487 2267 832 @
1961 2621 832 @
3705 1803 832 "Castle East"
3913 1991 832 @
3975 3462 832 @
3965 2864 832 @
171 2382 836 "Castle Entrance"
-259 2041 836 "Castle Gates #2"
-274 2225 836 @
3528 4022 832 "Castle North"
2829 3770 832 @
1987 4009 1280 @
2504 3878 1290 @
2998 4043 1376 @
2718 3983 1280 @
3533 3995 1368 @
771 3761 1008 @
1065 3760 1008 @
1688 3563 992 @
1820 3395 992 @
1949 3931 992 @
1211 3968 1008 @
1653 3812 992 @
3141 3838 832 @
2509 3820 1290 "Castle North Balcony"
3973 3607 832 "Castle North-East Tower"
3649 3998 1396 @
3960 3636 1584 @
3645 4016 1584 @
3810 3837 1872 @
3642 4016 832 @
-2127 1692 836 "Castle Road"
-562 2080 836 @
-2195 1917 835 @
-1596 1984 836 @
1349 2280 1566 "Castle Roofs"
2390 2274 1568 @
1880 2644 1312 @
1945 2997 1542 @
1536 2999 1543 @
1802 3278 1361 @
-1601 3395 1328 "Castle Side Entrance"
-726 3701 1328 @
268 3714 1009 @
2732 1791 832 "Castle South"
2633 2065 840 @
2046 1826 832 @
2967 2154 832 @
2783 2053 840 @
1738 1833 1256 "Castle Storage"
2389 2263 1192 @
1326 2265 1192 @
1794 2492 1192 @
3071 4021 1576 "Castle Vent"
3551 4023 1576 @
1806 3307 1176 "Castle West House"
1944 3013 1192 @
1536 3001 1192 @
1748 2725 1192 @
3433 1000 68 "Caves"
2064 1240 74 @
817 1645 104 @
-326 1458 68 @
-1277 1268 135 @
-1334 1897 166 @
-1530 1562 140 @
-966 1785 136 @
-937 1429 200 @
-1090 996 213 @
-934 996 213 @
-1320 1022 207 @
2011 242 192 "Church"
2373 234 192 @
1664 226 192 @
2020 -1079 192 @
2370 -711 192 @
2385 -270 192 @
1661 -202 192 @
1672 -702 192 @
-1254 1528 140 "Command Post"
27 -754 217 "Crypt"
-435 -260 217 @
-341 -301 400 "Documents Drop Off"
3798 2158 288 "Dungeons"
3173 3610 288 @
3854 3326 288 @
3336 2240 288 @
2682 2152 288 @
1524 2416 296 @
1368 2830 296 @
847 2843 296 @
1085 3021 296 @
1075 2674 296 @
2621 3300 288 @
