/////////////////////////////////////////////////////////
// Map name       Crevasse B1                          //
// Locations by   antman                               //
// Modified by    antman                               //
// Recommended    b_locationMaxChars 25                //
// Last edited    27-09-2006                           //
// http://www.antman.info/wolf/etpro/locations/        //
/////////////////////////////////////////////////////////
-146 58 123 "Allied Bunker"
19 318 -121 @
-146 58 345 "Allied First Spawn"
59 154 344 @
-1015 -2112 -934 "Anti-Tank Gun"
-672 -2622 -969 "Anti-Tank Gun Bunker"
-1399 -1923 -969 @
-1159 -1430 -969 @
-602 -1436 -969 @
-396 -1620 -969 @
-413 -2625 -969 @
-1373 -1538 -969 @
-1113 -2625 -967 "Anti-Tank Gun Controls"
-607 -3403 -963 "Axis Back Spawn"
-125 -3394 -983 @
-818 -3596 -825 @
128 3024 -119 "Axis First Spawn"
-378 2235 -119 @
-280 -2791 -717 "Courtyard Overlook"
175 -2819 -724 @
-94 -2787 -717 @
-193 1180 -127 "Dam Area"
17 499 -119 @
837 346 -119 @
737 841 -122 @
197 258 -319 @
450 79 -319 @
714 64 -119 @
450 79 -94 "Dam Area Controls"
-761 429 -342 "Elevator Shaft"
-761 401 -725 @
-761 401 -1102 @
-376 414 -762 @
-376 414 -1089 @
-376 414 -291 @
54 262 -319 "Elevator Spawn"
-896 19 -319 @
-761 309 -319 @
-383 271 -319 @
-217 435 -319 @
-809 -360 -759 "Gun Bunker Corridor"
-1629 -1371 -759 @
175 -2819 -985 "Gun Bunker Lobby"
498 -2996 -985 @
-131 -3244 -985 @
-602 -3274 -985 @
-682 -2764 -985 @
-94 -2787 -985 @
-416 -2768 -969 @
-1030 -2809 -985 @
-673 -2766 -753 "Gun Bunker Overlook"
-403 -2801 -735 @
-912 -2802 -753 @
-822 -3201 -753 @
-1564 -1925 -969 "Gun Bunker Small Storage"
-1845 -1748 -969 @
-73 -1216 -949 "Gun Bunker Warehouse"
-618 -1263 -969 @
-1153 -1278 -969 @
-453 -656 -977 @
524 543 -749 "Health and Ammo Cabinets"
1139 2207 -135 "Keycard"
-197 2256 -127 "Keycard Courtyard"
343 3032 -119 @
606 2650 -126 @
494 2534 -126 @
601 1614 -127 @
467 1711 -126 @
53 1467 52 @
1137 1019 8 @
1193 1589 -126 @
1141 1035 -128 @
890 1235 78 @
1196 1586 78 @
607 2538 -119 "Keycard Room"
598 1715 -119 @
1168 1733 -119 @
-458 -491 -969 "Lower Elevator Area"
0 235 -761 @
-384 214 -761 @
-757 226 -761 @
-908 18 -761 @
33 -115 -761 @
1572 265 29 "Lower Office"
1571 61 8 @
968 154 8 @
1132 889 8 @
1313 43 8 @
1322 -95 -19 "Lower Office Stairs"
1108 -103 -123 @
783 1234 80 "North Warehouse"
60 1346 80 @
731 968 -119 @
-58 1209 -119 @
1711 270 176 "Office Stairs"
1710 64 56 @
1113 56 -175 "Office Warehouse"
963 339 -175 @
1145 888 -175 @
970 839 -175 @
180 157 344 "Spawn-Office Corridor"
830 155 197 @
-19 350 -749 "Supplies Room"
335 543 -749 @
1854 -1235 -1017 "Transmitter"
553 -320 -833 "Transmitter Courtyard"
1520 -1570 -1011 @
1664 -877 -910 @
653 -2987 -1004 @
-108 -2632 -998 @
58 -1222 -925 @
-284 -1620 -980 @
-270 -2628 -976 @
-263 -1203 -777 @
195 -599 -968 @
568 -2108 -1015 @
1702 -1573 -1004 "Transmitter Room"
-1658 -1550 -759 "Upper Gun Bunker"
-1449 -1537 -759 @
-1419 -1917 -759 @
-1687 -1743 -759 @
1168 1733 80 "Upper Keycard Room"
594 1717 96 @
605 2551 80 @
1141 2209 80 @
1572 265 196 "Upper Office"
1571 61 196 @
968 154 196 @
1132 889 196 @
1313 43 196 @
-1873 -1731 -764 "Vent"
-1780 -1551 -783 @
-988 13 -313 @
-1003 15 -753 @
556 -155 -761 "Wall Breach"
