/////////////////////////////////////////////////////////
// Map name       Eagles 2 Ways B1                     //
// Locations by   antman                               //
// Modified by    antman                               //
// Recommended    b_locationMaxChars 25                //
// Last edited    28-05-2006                           //
// http://www.antman.info/wolf/etpro/locations/        //
/////////////////////////////////////////////////////////
2320 1953 1112 "Airfield Spawn"
1900 1722 1112 @
2073 1482 1112 @
1686 1623 1176 @
2068 1791 1112 @
2157 2158 1664 "Airfield Tower"
2471 2177 1680 @
2400 2074 1680 @
3350 -2502 1256 "Allied Bus Spawn"
3362 -2335 1256 @
-3240 1265 1272 "Allied Forward Town Spawn"
-3229 1004 1272 @
-2855 1001 1272 @
-2846 1271 1272 @
-1062 1934 1168 "Avalanche Wall"
-1913 707 1384 "Axis Forward Town Spawn"
-2189 715 1384 @
-2163 1235 1384 @
-2215 1578 1374 @
-2512 1335 1384 @
-1950 1233 1363 @
-1592 -1984 1111 "Bus Garage"
-1584 -2387 1111 @
-2261 -2379 1111 @
-2242 -1975 1111 @
-1982 -1855 1111 @
-2278 -2179 1352 @
-1886 -3343 1232 "Bus Garage Guard Post"
-1699 -3346 1232 @
-1694 -3359 1112 @
-1886 -3343 1112 @
-1885 -3529 1127 @
-1895 -2492 1540 "Bus Garage Roof"
-2314 -2467 1555 @
-2325 -1871 1548 @
-1891 -1866 1545 @
-1523 -1861 1542 @
-2852 -3709 1132 "Castle Back Corridor"
-3566 -3647 1360 @
-3575 -2606 1776 @
-3575 -2947 1680 @
-2858 -3634 1271 "Castle Back Ladder"
-3016 -3638 2054 @
-3281 -3698 2273 @
-3434 -3419 2461 "Castle Back Window"
-3351 -3631 2233 "Castle Back Yard"
-3362 -3418 2205 @
-2930 -3192 2168 @
-2923 -2856 2179 @
-3142 -2604 2138 @
-3359 -2485 2164 @
-3891 -2179 1776 "Castle Cellars"
-3720 -2668 1776 @
-4226 -3040 1776 @
-4163 -2820 1776 @
-4718 -3548 1776 @
-4709 -3255 1776 @
-4927 -2779 1776 @
-4920 -4266 2440 "Castle Cellars Corridor"
-4915 -2901 1804 @
-4285 -3511 2092 "Castle Courtyard"
-4073 -3430 2096 @
-3760 -2973 2096 @
-4196 -2791 2096 @
-4437 -2782 2096 @
-3772 -2825 2312 @
-3799 -3297 2190 @
-4131 -2312 2205 "Castle Front Yard"
-4502 -2295 2277 @
-4800 -2026 2297 @
-4817 -1853 2291 @
-3261 -2355 2176 @
-3146 -2449 2161 @
-3601 -2301 2184 @
-4177 -1701 2196 @
-4341 -1579 2619 "Castle Front Yard Roofs"
-4816 -1569 2624 @
-4724 -1430 2519 @
-4272 -1427 2516 @
-4294 -1859 2481 @
-4807 -1886 2478 @
-4293 -3636 2096 "Castle Main Hall"
-4800 -4271 2440 @
-3770 -3660 2440 @
-4612 -3903 2096 @
-3659 -3650 2440 "Castle Main Hallway"
-3573 -3340 2440 @
-3348 -3005 2312 @
-3643 -2822 2312 @
-3642 -2976 2096 @
-4921 -1857 2312 "Castle Spawn"
-4919 -2019 2312 @
-4901 -1892 2496 @
-2899 -2700 2692 "Castle Tower"
-2877 -2474 2631 @
-3160 -2417 1777 "Castle Tram Flag"
-3005 -2826 1808 "Castle Tram Stairway"
-3266 -2473 2160 @
-3264 -2827 1936 @
-3575 -1748 1776 "Castle Tram Station"
-3782 -2178 1776 @
-3582 -2489 1776 @
-3153 -2194 1776 @
-3368 -2419 1776 @
-2994 -2693 1776 @
-3280 -2721 1776 @
-3342 -3689 2496 "Castle Walls"
-3066 -3406 2496 @
-2855 -3200 2496 @
-2853 -2868 2504 @
-2845 -2353 2496 @
-2905 -2127 2496 @
-3209 -2074 2496 @
-3487 -1965 2496 @
-3857 -1944 2496 @
-4184 -1605 2496 @
-2868 -26 1128 "Command Post"
1203 -3638 1111 "Concrete Bridge"
336 -3636 1111 @
1188 -3733 1408 @
349 -3716 1408 @
-4533 -1268 2270 "Don't Do It Man!"
-2619 667 1116 "Forward Town Flag"
-4046 1211 1111 "Guardhouse"
-4152 1381 1388 @
-1551 1344 1154 "Health and Ammo Cabinets"
-4091 -3024 1776 @
2879 -1940 1154 @
-2832 2585 2072 "Hill Cliff"
-2326 1858 2239 @
-3097 4151 2520 "Hill House"
-2833 4402 2520 @
-2114 4124 2338 @
-2113 3829 2338 @
-1714 3835 2338 @
-1752 4129 2338 @
-2835 4537 2563 "Hill House Roof"
-3177 4549 2538 @
-3220 4171 2528 @
-3164 4155 2710 @
-1973 4157 2541 @
-2139 3794 2542 @
-1713 3804 2551 @
-1702 4115 2577 @
-2552 4345 2302 "Hill Shed"
-2562 4495 2287 @
-1331 4183 2558 "Hill Sniper Spot"
-2835 4560 2338 "Hill Spawn"
-3146 4572 2338 @
-3145 4160 2338 @
-2842 4350 2338 @
-4441 3629 2304 "Hills"
-3237 4573 2287 @
-3237 4157 2275 @
-3157 4047 2255 @
-2846 4063 2267 @
-2748 4382 2287 @
-2749 4604 2306 @
-2838 4670 2276 @
-2563 4584 2277 @
-2663 4499 2285 @
-2669 4332 2287 @
-2568 4247 2287 @
-2425 4341 2287 @
-2454 4499 2298 @
-2121 4222 2304 @
-1771 4218 2304 @
-1642 3813 2336 @
-1717 3749 2275 @
-2114 3743 2274 @
-2220 4135 2287 @
-1633 4143 2336 @
-3041 2771 2011 @
-2593 2731 1712 @
-1408 1995 1184 @
-1088 2131 1207 @
-747 1976 1233 @
