/////////////////////////////////////////////////////////
// Map name       Reactor (B2)                         //
// Locations by   Ifurita                              //
// Modified by    antman                               //
// Recommended    b_locationMaxChars 20                //
// Last edited    28-05-2006                           //
// http://www.antman.info/wolf/etpro/locations/        //
/////////////////////////////////////////////////////////
1712 -2744 648 "Allied Spawn"
1704 -3128 648 @
1552 -3128 488 @
1128 -3128 488 @
776 -3232 488 @
-528 960 352 "Catwalk"
-528 720 352 @
-528 400 352 @
-416 144 352 @
-160 144 352 @
112 144 352 @
384 144 352 @
656 144 352 @
752 384 352 @
752 640 352 @
752 832 352 @
560 976 352 @
320 976 352 @
48 976 352 @
-224 976 352 @
64 528 400 "Connector Bridge"
64 528 112 "Coolant Controls"
-480 208 112 "Coolant Room"
-464 496 112 @
-464 880 112 @
-208 880 112 @
80 896 112 @
448 864 112 @
688 736 112 @
688 416 112 @
560 224 112 @
208 224 112 @
-160 224 112 @
-176 528 112 "Coolant Tower 1"
-176 528 400 @
368 528 112 "Coolant Tower 2"
368 528 400 @
-1240 -1280 552 "Crane Room"
640 -400 256 "East Access Ramp"
1104 -400 208 @
1728 240 128 @
96 1392 48 "East Barracks Hall"
480 1392 48 @
912 1216 48 @
624 -896 480 "East Parapet"
88 -312 520 "Forward Axis Spawn"
-96 -848 480 "Forward Bunker"
304 -848 480 @
1344 640 112 "Generator Room"
944 880 112 @
944 384 112 @
680 -2336 328 "Large Crane"
-608 -1320 424 "Loading Ramp"
-912 -1624 424 @
-288 1536 48 "Lower Barracks"
-288 1184 48 @
96 -1152 304 "Main Gate"
96 -896 304 @
1728 688 112 "North East Fan Room"
-1344 416 112 "North West Fan Room"
108 1170 280 "Office"
404 1170 280 @
-928 416 112 "Pump Room"
-720 352 112 @
-768 768 112 @
296 -2880 328 "Rail Line"
296 -2496 328 @
296 -2176 328 @
96 -384 304 "Ramp Entrance"
1584 -288 176 "South East Fan Room"
-1280 -400 160 "South West Fan Room"
-616 -240 520 "Side Tunnel"
-1096 -672 520 @
-1248 -920 520 @
-488 -2960 328 "South Power Building"
544 -3232 456 "South Tunnel"
144 -3232 416 @
-320 -3224 336 @
928 256 384 "South Vent"
928 16 384 @
768 -160 384 @
512 -160 384 @
-1288 -2488 424 "Truck Bay"
-288 1184 256 "Upper Barracks"
-304 1552 256 @
-608 1552 256 @
-976 1536 256 @
1240 -1438 368 "Warehouse"
1240 -1790 368 @
1096 -1438 576 "Warehouse Roof"
1096 -1790 576 @
-1344 -16 160 "West Access Ramp"
-768 -400 192 @
-416 -400 256 @
-560 1328 48 "West Barracks Hall"
-768 1104 48 @
-432 -896 480 "West Parapet"
688 -1248 304 "Yard"
688 -1760 304 @
1200 -2272 560 @
240 -1696 304 @
-80 -1504 304 @
-272 -1952 304 @
-912 -2016 304 @
-528 -2400 304 @
