/////////////////////////////////////////////////////////
// Map name       Braundorf (B3)                       //
// Locations by   antman                               //
// Modified by    antman                               //
// Recommended    b_locationMaxChars 25                //
// Last edited    28-05-2006                           //
// http://www.antman.info/wolf/etpro/locations/        //
/////////////////////////////////////////////////////////
2845 -5155 400 "Allied Spawn"
2658 -5141 400 @
2571 -5205 400 @
2581 -5416 400 @
1916 1461 128 "Bunker Controls"
1654 1368 320 "Bunker Controls Catwalk"
1658 1720 320 @
2189 1746 320 @
2188 1359 320 @
1141 382 320 "Bunker Entrance Catwalk"
1443 387 320 @
1277 390 320 @
1469 -306 384 "Bunker Entrance Terrace"
1166 -303 384 @
618 -299 384 @
1940 1234 -383 "Bunker Equipment"
1283 -376 128 "Bunker Main Entrance"
1273 378 128 @
2696 989 64 "Bunker Spawn"
2694 1317 64 @
4766 -238 352 "Command Post"
4982 -61 352 "Command Post Bunker"
4938 -306 352 @
4764 -413 352 @
5508 -340 352 @
5406 -433 512 @
5034 109 320 "Command Post Path"
4670 873 208 @
4544 1398 320 @
4728 -1859 352 "Factory District"
3963 -2460 208 @
3956 -2160 256 @
3770 -2693 208 @
3199 -2691 208 @
3595 -2693 208 @
3386 -3316 208 @
2808 -2326 192 @
2417 -2848 192 @
2656 -2496 192 @
2419 -2488 204 @
3206 -2466 240 "Factory District Spawn"
3778 -2471 240 @
3770 -2214 320 @
1257 -4222 400 "Health and Ammo Cabinets"
2613 -4162 256 "Loading Bay"
2806 -2103 192 "Main Gate"
2837 -1832 192 @
2500 -1952 320 "Main Gate Hallway"
2176 -1614 320 @
2834 -1457 192 "Main Gate Path"
2588 -1376 192 @
2213 -979 192 @
1733 -1051 152 @
1425 -1006 128 @
1129 -877 128 @
1051 -561 128 @
1310 -548 128 @
2156 -2700 400 "Main Gate Terrace"
2157 -2417 400 @
2362 -2387 320 @
2635 -2386 320 @
2623 -2153 320 @
2400 -3032 192 "Main Road"
2396 -3431 196 @
2394 -4259 192 @
2420 -4053 192 @
1646 -3890 288 @
1625 -4393 361 @
1620 -5079 384 @
2021 -5043 390 @
1623 -4268 320 @
2485 -3445 512 "Main Road Catwalk"
2496 -2935 512 @
2865 -2950 512 @
2495 -3233 512 @
1388 -3821 400 "Main Road Terrace"
1396 -4228 400 @
1390 -4633 400 @
1392 -4474 400 @
3209 -3498 224 "Middle Warehouse"
2621 -3419 224 @
2628 -3423 512 @
2691 868 64 "Research Facility Bunker"
3196 710 304 @
2998 895 320 @
2682 1427 320 @
2365 1403 320 @
1610 377 320 @
941 392 320 @
631 -57 336 @
1112 749 320 @
1466 1405 320 @
1240 1796 320 @
1599 389 128 @
1909 1097 128 @
2196 1176 272 @
1638 1158 256 @
2693 1456 64 @
3197 1598 304 @
3187 873 320 "Research Facility Tanks"
3192 1442 320 @
3733 1416 320 @
3782 909 128 @
3716 -3951 208 "Shed Square"
3402 -3502 208 @
3960 -3443 96 @
5507 -600 320 "Side Door"
4238 904 128 "Side Gate"
4471 898 144 @
4141 1406 320 "Side Gate Team Door"
4721 -1668 305 "Side Path"
4710 -1205 288 @
5088 -1191 288 @
5506 -1165 288 @
5517 -823 288 @
2654 -4987 400 "The Alley"
2854 -4986 400 @
3211 -4981 400 @
3200 -4456 400 @
3709 -4154 208 @
2437 -5407 400 "Town Gate Square"
2450 -5186 400 @
2139 -5075 384 @
1722 -1387 320 "Upper Main Gate Path"
1324 -1292 346 @
857 -1036 352 @
646 -568 327 @
2180 -1433 320 @
1381 -3657 400 "Warehouse Hallway"
1805 -3281 400 @
1968 -2719 400 @
