/////////////////////////////////////////////////////////
// Map name       Sottevast B2                         //
// Locations by   antman                               //
// Modified by    antman                               //
// Recommended    b_locationMaxChars 25                //
// Last edited    10-12-2006                           //
// http://www.antman.info/wolf/etpro/locations/        //
/////////////////////////////////////////////////////////
-2335 998 24 "Allied Hut"
-2078 994 24 @
-2076 1507 24 @
-2319 1521 24 @
-2339 998 217 "Allied Hut Roof"
-2078 994 220 @
-2074 1507 219 @
-2322 1521 223 @
2740 -1710 -407 "Ammo Cabinet"
3324 -1245 -247 "Axis Bunker Spawn"
3482 -1190 -247 @
3941 -1268 -247 @
3474 -1055 -247 "Axis Bunker Stairs"
3538 -638 -399 @
3418 -346 -407 "Caves"
3694 48 -223 @
3068 980 36 @
3723 -355 -415 "Caves Entrance"
3568 -452 -415 @
2669 1897 32 "Closed Forward Bunker"
2637 1222 32 @
2977 1101 32 @
1610 -1814 -535 "Command Post"
4089 -1255 -247 "East Ramp"
3949 -2091 -399 @
3967 -324 -399 @
1738 1423 32 "Forward Bunker"
1725 1889 32 @
2095 1901 32 @
2103 1440 32 @
1488 116 -19 "Guard Post"
1323 -191 -19 @
3439 -2098 -427 "Launch Site"
2749 -1833 -543 @
3000 -1719 -407 @
2485 -1716 -407 @
2127 -1741 -407 @
2124 -2170 -407 @
2226 -2412 -547 @
3511 -2910 -583 @
3940 -2778 -539 @
3733 -2545 -415 @
3441 -2450 -547 @
3728 -2100 -415 "Launch Site Lookout"
3727 -2426 -407 @
3581 -2098 -407 @
694 -1052 -279 "Main Entrance"
477 -956 -279 @
463 -1174 -279 @
473 -753 -271 "Main Entrance Bunker"
132 -359 64 @
353 -363 64 @
467 -1300 -271 "Main Entrance Corridors"
981 -2598 -271 @
1509 -1540 -271 @
433 -1879 -535 "Main Entrance Ramp"
81 -1476 -391 @
234 -1081 -285 @
972 -1054 -279 "Main Road"
1773 -949 -236 @
2281 -444 -197 @
2347 381 -99 @
2489 1213 -8 @
1714 2068 8 @
996 2119 8 @
345 2081 8 @
2083 2027 8 @
2661 2024 8 @
2496 1885 8 @
2205 1902 8 @
2209 1441 6 @
1532 2091 8 @
-1035 2185 24 "North Bridge"
-581 2125 24 @
1155 1055 -84 "Outside Forward Bunker"
1102 1653 9 @
1582 1886 8 @
1569 1398 0 @
1733 1265 8 @
2047 1278 32 @
1831 430 -30 @
1489 234 -42 @
1334 -327 -32 "Outside Main Bunker"
485 -364 43 @
347 -25 38 @
-1 -354 48 @
1028 -134 -34 @
3684 -633 -399 "Pipes Room"
3643 -1150 -415 @
3736 -1801 -407 @
-1876 -687 -134 "River"
-2337 -260 -133 @
-1035 2185 -131 @
-581 2125 -137 @
-2792 -459 -115 @
-3309 -987 -111 @
-1204 1561 -123 @
-1477 1000 -112 @
-902 2784 -135 @
-1782 269 -128 @
-2051 -1286 -125 @
-1593 -249 -134 @
-1270 411 -131 @
-1018 1008 -117 @
-713 1725 -121 @
-369 2544 -123 @
-286 2968 -132 @
-1681 -884 62 "River East Side"
-1921 -1205 48 @
-1433 -266 48 @
-1155 373 48 @
-908 924 32 @
-627 1686 47 @
-281 2459 18 @
354 1612 -5 @
-50 1637 53 @
-355 -416 48 @
115 730 -58 @
-2533 -78 44 "River West Side"
-2862 -343 36 @
-2447 976 6 @
-2356 879 24 @
-2056 877 20 @
-1958 1002 27 @
-1945 1544 29 @
-2056 1627 24 @
-2356 1618 24 @
-2439 1521 36 @
-1347 2224 56 @
-1324 1585 72 @
-1584 1043 67 @
-1048 2799 222 @
-1976 389 -35 @
2530 -438 -183 "Side Door"
2801 -452 -183 @
3037 -784 -367 "Side Door Stairwell"
2995 -670 -193 @
2813 -676 -183 "Side Door Switch"
3059 -995 -407 "Small Storage"
3001 -1454 -407 @
2744 -1574 -408 @
2484 -1452 -407 @
3468 -1152 -407 @
-1876 -687 48 "South Bridge"
-2337 -260 48 @
352 -1467 -443 "Stairs To Warehouse"
3735 -3139 -591 "Targeting System"
-41 2109 16 "Truck"
3059 -995 -243 "Vent"
3223 -1246 -241 @
1402 -1811 -543 "Warehouse"
1519 -2427 -543 @
1060 -2555 -543 @
644 -1866 -543 @
644 -1472 -543 @
1623 -2421 -535 "Warehouse Corridors"
2076 -2416 -535 @
1988 -2169 -435 @
1061 -2718 -535 "Warehouse Stairwell"
991 -2723 -271 @
-409 1424 204 "h4x0r"
